edge,v0,v1,l0,lfinal,scale
236,87,88,0.18672390412379669,0.17964520863188929,0.9620900413092569
237,88,85,0.16516468901567433,0.15021397706664691,0.90947997396944469
238,87,82,0.15298229776783714,0.16580626267780149,1.083826462911583
239,82,88,0.30388718244812374,0.30798654744059079,1.0134897594542898
240,85,89,0.27054021377111009,0.25638930600841925,0.94769388415334366
241,89,86,0.096277778680579088,0.099055828509817215,1.0288545276730456
242,70,90,0.089318882683680226,0.1008888976001822,1.1295360462297406
243,90,79,0.057852010095918081,0.06665594821503186,1.1521803322739683
244,70,91,0.10911274928867168,0.11909984001195714,1.0915300071567562
245,91,90,0.071222849046743059,0.082086194023884715,1.1525261222000838
246,66,91,0.077688203974102324,0.085554224081876948,1.1012511514669177
247,67,91,0.0757076705298763,0.083055230745185754,1.0970517275711171
248,78,92,0.12141558087661063,0.14742949131091546,1.2142551248075948
249,92,83,0.089609687154311099,0.10830964531143593,1.2086823283393773
250,78,93,0.084987144115793015,0.12369752076484038,1.4554850860302515
251,93,92,0.098765822471967246,0.13605676741228848,1.3775693251671703
252,78,90,0.10472859306612529,0.12954629188820846,1.2369715671288866
253,90,93,0.08085929424124555,0.11347316855857129,1.403341070724925
254,91,94,0.10259514098838834,0.11425160132523991,1.1136161052517179
255,94,90,0.11760096917796238,0.13552231744127949,1.1523911613023972
256,67,94,0.13720344234471546,0.1505016476344587,1.0969232627293146
257,94,93,0.10238859844498258,0.138835190138521,1.3559633811485623
258,94,92,0.15851765235767099,0.17931960702763622,1.1312280011757225
259,94,95,0.16584675937071566,0.1755477743697566,1.0584938471867054
260,95,92,0.26583386544201892,0.28586708068493971,1.0753599064950219
261,67,95,0.20526498713034175,0.21403993813413202,1.0427493803325467
262,92,82,0.11197673896578569,0.12826770912335417,1.145485306216554
263,92,88,0.30953594427201775,0.31474336173183126,1.016823304550496
264,92,96,0.25540218671590503,0.2724962164277594,1.0669298486894663
265,96,88,0.17591495224929848,0.16606131099808774,0.94398633473039506
266,95,96,0.079941684092724119,0.079808169452860511,0.99832984954746828
267,96,97,0.18857155137826789,0.18923150073040998,1.0034997291336818
268,97,88,0.24769905048784774,0.23689245429223527,0.95637207258433699
269,97,99,0.16537693510276935,0.16869032407299697,1.020035375357323
270,99,98,0.16468667874062337,0.16895836522674404,1.0259382636093382
271,98,97,0.22888956886545703,0.23405096332345549,1.0225497146225671
272,97,100,0.19816836941378005,0.19547287425077997,0.98639795457280155
273,100,99,0.12391991855802792,0.12263941723754745,0.98966670301771664
274,97,95,0.2111942302093443,0.21360788691077234,1.0114286109948909
275,95,100,0.25760216353454812,0.25278917127406419,0.98131618075545224
276,101,67,0.16368819780170921,0.1660240191869182,1.0142699438113345
277,62,101,0.19035918734589083,0.17623754994071475,0.92581583478019136
278,101,95,0.11738107715192399,0.11488510823240733,0.97873619002246692
