vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
63,0,1,0,0.063870404401921377,0.00027904956557822658,
64,0,1,0,0.35048749289455383,-0.014748760873624533,
65,0,1,0,-0.14991771893619266,0.0035670116052939349,
66,0,1,0,-0.11870904627471202,-0.0068659405771303028,
67,0,1,0,-0.094434758782394823,-0.00036424187885941706,
68,0,1,0,-0.10862911896311811,-0.0019135924947217831,
69,0,1,0,0.12731974922311284,0.003586932007787702,
70,0,1,0,0.020713168027559625,0.0028285531798424302,
71,0,1,0,0.41924316589414445,-0.022998181596269873,
72,0,1,0,0.1775910640269549,0.016102279694066191,
73,0,1,0,-0.19046121774161495,0.0034620721795128873,
74,0,1,0,-0.081525637651218119,0.0178092213496992,
75,0,1,0,0.040899766168493557,0.014618924088151353,
76,0,1,0,0.50839370579604726,-0.024048379829893385,
77,0,1,0,0.030989144090955989,0.0028792275866820205,
78,0,1,0,-0.014395012817589148,0.069145843214187153,
79,0,1,0,0.11174050830711924,-0.0019616338923071908,
80,0,1,0,-0.092847498530190364,0.009047888781545943,
81,0,0,1,0.42585304404148605,1.474250716770813,1.5707963267948966
82,0,1,0,0.2391740071222701,0.010692207221828731,
83,0,1,0,0.12193523198588263,0.0061462743695006594,
84,0,1,0,-0.013596872654144221,0.0019640359942849628,
85,1,1,0,-0.63599994851894071,-0.88495214478098649,
86,0,1,0,-0.34935404351414689,-0.0093947221484631527,
87,0,1,0,-0.036188597190282223,0.010625089253794684,
88,1,1,0,-0.3623459694575808,-0.60247113297753341,
89,1,1,0,-0.012753240556092837,-0.27766917210665198,
90,0,1,0,0.077412629948145906,0.032412353404056127,
91,0,1,0,0.023620454506249722,0.0020118182829103048,
92,0,1,0,0.37518560414512514,0.054524224732787729,
93,0,0,1,0.2879966499146267,1.3873927840970461,1.5707963267948966
94,0,1,0,0.27364114160415554,0.057341733196651923,
95,0,1,0,-0.049244820084686225,0.0047963420837024984,
96,0,1,0,0.016994417263299866,0.0067687235010351898,
97,1,1,0,-0.86681312088176643,-0.81600291580177409,
98,1,1,0,-0.063112137232339105,-0.074707925973154232,
99,0,1,0,-0.12987928545394034,-0.0009929128340351312,
100,0,1,0,0.090690250684763107,0.00075728786129936054,
101,0,1,0,0.17194879012774322,-0.0010077033425357484,
102,0,1,0,0.12498933495032016,-0.0020212866608675384,
103,0,1,0,0.0023631841372040441,0.010029565837393228,
104,0,1,0,0.12499868151807636,-0.0011013511714130786,
105,0,1,0,0.17672638891170589,-0.0044116756993224371,
106,0,1,0,0.040407345360817359,0.0021374434506915563,
107,0,1,0,-0.10164538183542327,0.0010456895405432931,
108,0,1,0,-0.0026368439930539722,-0.0011511647580286777,
109,0,1,0,-0.27299502325927971,-0.0039677780952267483,
110,0,1,0,-0.11061296748492477,-0.0030734548833235564,
111,0,1,0,-0.12479617331008708,-0.0024122475649921427,
112,0,1,0,-0.051751908589555029,0.0021643371415596135,
113,1,1,0,0.043338286738641596,-0.021534775993410804,
114,0,1,0,-0.14883288386829108,-0.0016324383263190967,
115,0,1,0,-0.049803084013383625,1.9890004899991709e-05,
116,0,1,0,-0.021033183161212499,0.00024972365716102729,
117,0,1,0,0.0048170934195574944,0.00087060866884236532,
118,1,1,0,0.040288239285751093,0.087245270035213096,
119,1,1,0,0.66983138839968781,0.46690170823504618,
120,1,1,0,-0.15872256116573347,-0.29263850069088404,
121,0,1,0,0.11817704076997071,-0.00257927507546718,
122,0,1,0,-0.0094136660070027744,0.0023018181623717382,
123,0,1,0,-0.025674067745763196,0.001129322362526608,
124,0,1,0,0.016612346828838831,0.0007734147972975336,
125,1,1,0,0.79247136736964086,0.80435647778451536,
126,0,1,0,0.085459690899015506,0.001308655412385562,
127,1,1,0,-0.1806586729833235,-0.17112507839995894,
128,0,1,0,0.11048833995556695,-0.0016043626393305033,
129,1,1,0,0.11825079786966608,0.21198315642717525,
130,0,1,0,0.064451361623254932,0.0029368431808673989,
