vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
2095,0,1,0,-0.0062546496359665582,-7.2100749131109865e-06,
2096,0,1,0,-0.005136859402268712,-6.873483812341874e-06,
2097,0,1,0,-0.0039367964326162408,-5.8048484454786831e-06,
2098,0,1,0,-0.0026579863758993127,-4.0785112256358502e-06,
2099,0,1,0,-0.0013411143095991562,-1.9137472868635541e-06,
2100,0,1,0,-8.9261931179862586e-12,4.5361856049197513e-07,
2101,0,1,0,0.0013418420090669514,2.751725986627207e-06,
2102,0,1,0,0.0026591371799629115,4.7194652985638186e-06,
2103,0,1,0,0.0039375921457773799,6.1575759024989907e-06,
2104,0,1,0,0.0051314949149672273,6.9052750948372932e-06,
2105,0,1,0,0.0062542155276519296,6.9581123778306164e-06,
2106,0,1,0,0.0072713399568602455,6.3592584229610338e-06,
2107,0,1,0,0.0081430864088130051,5.2442074718328513e-06,
2108,0,1,0,0.0089055798913975082,3.8468076324349454e-06,
2109,0,1,0,0.0094825111596801293,2.4060842171991226e-06,
2110,0,1,0,0.009925938332380646,1.1606090684068704e-06,
2111,0,1,0,0.010181316419132891,3.2201616839699909e-07,
2112,0,1,0,0.010258691159370059,3.7549938269876293e-08,
2113,0,1,0,0.010189482345110079,3.2278152328757415e-07,
2114,0,1,0,0.0099208957965117861,1.1628927101270392e-06,
2115,0,1,0,0.0094944494988258299,2.4011675776591801e-06,
2116,0,1,0,0.0088888625424701218,3.8534582360583158e-06,
2117,0,1,0,0.0081518217790659264,5.2519124640326709e-06,
2118,0,1,0,0.0072637522437055679,6.3608102838230707e-06,
2119,0,1,0,0.0062511102025082366,6.9560915321176253e-06,
2120,0,1,0,0.0051426748443663683,6.9127731894269573e-06,
2121,0,1,0,0.0039345303644386931,6.1526594592464789e-06,
2122,0,1,0,0.0026584627684780315,4.7194123453664361e-06,
2123,0,1,0,0.0013409516646554209,2.7497910037865836e-06,
2124,0,1,0,3.242843860107314e-08,4.5509616075634085e-07,
2125,0,1,0,-0.0013416992583943355,-1.916259349421523e-06,
2126,0,1,0,-0.0026598067879959331,-4.0809966925792196e-06,
2127,0,1,0,-0.003937164539757454,-5.8062412229276106e-06,
2128,0,1,0,-0.0051350167105734812,-6.8681198026609991e-06,
2129,0,1,0,-0.0062536046405661239,-7.2043982068947798e-06,
2130,0,1,0,-0.0072670550077553742,-6.8000405519796914e-06,
2131,0,1,0,-0.0081472517560783331,-5.7670431576894998e-06,
2132,0,1,0,-0.0088938577031854038,-4.3267062252994037e-06,
2133,0,1,0,-0.0094934233211700914,-2.7616226700999391e-06,
2134,0,1,0,-0.0099210499376471972,-1.3562147458401341e-06,
2135,0,1,0,-0.010187397429637812,-3.9031519172283424e-07,
2136,0,1,0,-0.010272032187436331,-4.1380776139021691e-08,
2137,0,1,0,-0.010187397429637812,-3.9031519172283424e-07,
2138,0,1,0,-0.009921049937646309,-1.356214747616491e-06,
2139,0,1,0,-0.0094934233211709795,-2.761622671876296e-06,
2140,0,1,0,-0.0088938577031845156,-4.3267062297402958e-06,
2141,0,1,0,-0.0081472517560783331,-5.7670431585776782e-06,
2142,0,1,0,-0.0072670550077553742,-6.8000405555324051e-06,
2143,0,1,0,-0.0062536046405661239,-7.2043982042302446e-06,
2144,0,1,0,-0.005135016710572593,-6.8681198008846422e-06,
2145,0,1,0,-0.003937164539757454,-5.8062412211512537e-06,
2146,0,1,0,-0.0026598067879959331,-4.0809966916910412e-06,
2147,0,1,0,-0.0013416992583934473,-1.916259349421523e-06,
2148,0,1,0,3.242843771289472e-08,4.5509616075634085e-07,
2149,0,1,0,0.0013409516646554209,2.7497910011220483e-06,
2150,0,1,0,0.0026584627684780315,4.7194123320437598e-06,
2151,0,1,0,0.0039345304363473943,6.1526594645755495e-06,
2152,0,1,0,0.0051426747743290591,6.9127730286666633e-06,
2153,0,1,0,0.0062511102025082366,6.9560915587629779e-06,
2154,0,1,0,0.0072637522437046798,6.3608102998102822e-06,
2155,0,1,0,0.0081518217790650382,5.2519124738026335e-06,
2156,0,1,0,0.0088888625424692336,3.8534582404992079e-06,
2157,0,1,0,0.0094944494988258299,2.4011675803237154e-06,
