vertex,u
713,-0.15758707381325637
714,-0.1786919960487707
715,-0.19684553285439058
716,-0.21188960840039972
717,-0.22370822528266959
718,-0.23220871078922511
719,-0.23733540529429759
720,-0.23904854416293292
721,-0.23733395537418892
722,-0.23221049731959326
723,-0.22370715180599396
724,-0.21188956235854459
725,-0.19684499920553905
726,-0.17869281996260672
727,-0.15758556445587668
728,-0.13371406801482943
729,-0.10730914266585828
730,-0.078656468463523796
731,-0.048085875476631276
732,-0.015995594294797143
733,0.017161111431640452
734,0.050858490881285787
735,0.084509817779900923
736,0.11746198818034576
737,0.14901571107722056
738,0.1784340669390285
739,0.20496793377628034
740,0.22788610286339819
741,0.24651800589260844
742,0.26027749531566796
743,0.26872469458527598
744,0.27157115138788557
745,0.26872469459440079
746,0.26027749534083311
747,0.2465180059533886
748,0.22788610280739888
749,0.20496793375473024
750,0.17843406693203653
751,0.14901571107648556
752,0.11746198818221629
753,0.084509817782687027
754,0.050858490884175225
755,0.017161111434246246
756,-0.015995594292620086
757,-0.048085875474830272
758,-0.078656468461789225
759,-0.10730914266435479
760,-0.13371406801347521
761,-0.15758556445447874
762,-0.17869281996100136
763,-0.19684499920388238
764,-0.21188956235702344
765,-0.22370715180475109
766,-0.23221049731872143
767,-0.23733395537374113
768,-0.23904853589797159
769,-0.23733723696418407
770,-0.23221167920628949
771,-0.22370789143481506
772,-0.21188748886016134
773,-0.19684463260401427
774,-0.17869149020969491
775,-0.15758481773198987
776,-0.13371489087940341
777,-0.10730932387279593
778,-0.078655997764206467
779,-0.048084443157773292
780,-0.015992932310851245
781,0.017160789148806137
782,0.050857727545443973
783,0.084509868525484561
784,0.11746112497112407
785,0.14901532800994816
786,0.17843268664502518
787,0.20496640336884225
788,0.22788492897874557
789,0.24651694843793778
790,0.26027745222384152
791,0.26872475578060356
792,0.27157105697457484
793,0.26872475578407079
794,0.26027745223099646
795,0.24651694844662847
796,0.2278849289763506
797,0.20496640336754152
798,0.17843268664646139
799,0.14901532801323258
800,0.11746112497516216
801,0.084509868529470802
802,0.050857727548842262
803,0.017160789151217038
804,-0.015992932309836554
805,-0.04808444315873351
806,-0.078655997762019966
807,-0.10730932387245085
808,-0.13371489088001684
