face,alpha_mod,dirx,diry,dirz,cx,cy,cz
6564,1.10905,0.988875,-0.0268592,-0.146301,-0.22975,-0.199429,0.774804
6565,0.410987,-0.775953,-0.0779976,-0.62595,-0.23911,-0.194885,0.807992
6566,1.34051,0.993892,-0.0617331,0.0914725,-0.244304,-0.190381,0.82398
6567,1.36111,0.0377057,-0.432884,-0.900661,-0.253026,-0.177061,0.854906
6568,1.09635,0.966511,-0.237692,-0.0967459,-0.257684,-0.168359,0.86924
6569,1.54602,0.180118,-0.6594,-0.729897,-0.265174,-0.147171,0.895797
6570,1.4461,0.0577959,-0.746252,-0.66315,-0.27032,-0.128309,0.913091
6571,1.23343,0.961702,-0.258136,0.0921659,-0.273593,-0.114501,0.923167
6572,0.493519,-0.790767,-0.424929,-0.440593,-0.278313,-0.0843573,0.939905
6573,0.916777,-0.516336,-0.751577,-0.410523,-0.281026,-0.0600213,0.948965
6574,0.857924,-0.58943,-0.741973,-0.31945,-0.282815,-0.0346586,0.954903
6575,0.507864,0.485666,-0.870678,0.0777705,-0.283516,-0.017404,0.957063
6576,0.591516,-0.821257,-0.556428,-0.126196,-0.207553,0.017404,0.976357
6577,0.40204,0.34172,-0.905535,0.251462,-0.207022,0.0346586,0.974149
6578,1.09588,-0.504214,-0.842191,0.191004,-0.205266,0.0682786,0.96532
6579,1.04011,-0.570764,-0.773652,0.275121,-0.203108,0.0921786,0.955035
6580,0.853986,0.652284,-0.559894,0.510925,-0.201077,0.107251,0.946573
6581,0.924514,0.687341,-0.468361,0.555158,-0.197845,0.128309,0.931486
6582,0.804372,0.581384,-0.471299,0.663227,-0.194072,0.147171,0.913841
6583,0.156317,-0.994073,-0.0865343,-0.0658069,-0.18869,0.168359,0.886778
6584,0.413369,0.199571,-0.411336,0.889367,-0.185172,0.177061,0.872123
6585,0.806027,-0.812358,-0.232063,0.534996,-0.178903,0.190381,0.840608
6586,0.740585,0.487303,-0.149066,0.860416,-0.174978,0.194885,0.824262
6587,0.68087,-0.884631,-0.0412242,0.464467,-0.168251,0.199429,0.790441
6588,0.225881,-0.00923652,0.0643524,0.997884,-0.164188,0.199429,0.773519
6589,0.22224,-0.00893449,0.191953,0.981364,-0.158799,0.196587,0.748147
6590,1.42694,0.931482,0.0579193,0.359146,-0.153537,0.190381,0.723353
6591,0.0388982,-0.171286,0.442616,0.8802,-0.148491,0.180919,0.699563
6592,0.343049,0.145149,0.529282,0.835938,-0.14375,0.168359,0.677183
6593,0.562146,0.371707,0.568229,0.734132,-0.139393,0.152921,0.656595
6594,0.177899,0.0214533,0.743448,0.668449,-0.135494,0.134865,0.638153
6595,0.646515,0.485717,0.67459,0.555884,-0.132121,0.114501,0.622173
6596,1.13507,-0.492124,0.813217,0.310631,-0.128729,0.0843573,0.605117
6597,0.886799,0.712048,0.607633,0.351809,-0.127174,0.0682786,0.598641
6598,0.232409,0.181483,0.956156,0.229848,-0.125683,0.0432113,0.591492
6599,0.14777,0.129351,0.987353,0.0916603,-0.124887,0.017404,0.587604
6600,1.0933,-0.439405,0.886248,-0.146588,-0.124887,-0.017404,0.587604
6601,0.781293,-0.669579,0.69069,-0.273149,-0.125683,-0.0432113,0.591492
6602,0.164517,-0.95728,0.155094,-0.244052,-0.127174,-0.0682786,0.598641
6603,1.46671,0.984569,0.0777192,0.156791,-0.128729,-0.0843573,0.605117
6604,0.459083,-0.83123,0.368522,-0.416232,-0.132121,-0.114501,0.622173
6605,0.992173,-0.428729,0.62969,-0.647828,-0.135494,-0.134865,0.638153
6606,0.624682,-0.709801,0.385758,-0.589383,-0.139393,-0.152921,0.656595
6607,0.745292,-0.610795,0.376965,-0.696295,-0.14375,-0.168359,0.677183
6608,0.925386,-0.45022,0.353587,-0.819925,-0.148491,-0.180919,0.699563
6609,1.14248,-0.239314,0.292568,-0.925814,-0.153537,-0.190381,0.723353
6610,1.04016,-0.331312,0.168391,-0.928373,-0.158799,-0.196587,0.748147
6611,0.998125,-0.367863,0.0550418,-0.92825,-0.164188,-0.199429,0.773519
6612,0.462891,0.642641,-0.0574078,-0.764013,-0.168251,-0.199429,0.790441
6613,0.341435,-0.860099,-0.0653738,-0.505921,-0.174978,-0.194885,0.824262
6614,0.28997,0.490135,-0.304559,-0.816708,-0.178903,-0.190381,0.840608
